topic,model,struktur,index,latency_model_ms,question,optionA,optionB,optionC,optionD,answer,solution_model,solution_verifier,verifier_model,latency_verifier_ms,clarity,context_accuracy,final_answer_accuracy,quality_of_working,judge_notes,prompt_generator
mathematics,gemma,struktur1,1,2180,What is the derivative of f(x) = 3x² - 5x + 2?,A. 6x - 5,B. 9x - 5,C. 6x² - 5x,D. 3x - 5,A,"The power rule states that the derivative of x^n is nx^(n-1). Applying this to each term, we get: (3)(2)x^(2-1) - (5)(1)x^(1-1) + 0. This simplifies to 6x - 5.","To find the derivative of f(x) = 3x² - 5x + 2, we apply the power rule to each term.
The power rule states that the derivative of ax^n is a*n*x^(n-1).
1. The derivative of 3x² is (3)(2)x^(2-1) = 6x.
2. The derivative of -5x (or -5x¹) is (-5)(1)x^(1-1) = -5x⁰ = -5.
3. The derivative of the constant 2 is 0.
Combining these results, the derivative f'(x) is 6x - 5 + 0 = 6x - 5.
This corresponds to option A.",gemini:gemini-2.5-pro,10909,5,5,Correct,5,"Clarity: The question is a standard calculus problem, clearly stated with unambiguous notation.
Context Accuracy: This is a pure mathematics question without a real-world context, so there are no contextual inaccuracies.
Quality of Working: The generator's solution correctly identifies and applies the power rule to each term of the polynomial. The explanation is concise and accurate.
Final Answer Accuracy: The generator's result of 6x - 5 matches the correct option A.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field."
mathematics,gemma,struktur1,2,1800,Find the limit as x approaches 4 of (x^2 - 16)/(x - 4).,A. 8,B. 0,C. 16,D. Does not exist,A,"We can factor the numerator as (x+4)(x-4). This simplifies to (x+4) when x is not equal to 4. Therefore, the limit as x approaches 4 is (4+4) = 8.","The problem is to find the limit of (x^2 - 16)/(x - 4) as x approaches 4.
Directly substituting x = 4 gives the indeterminate form 0/0.
To resolve this, the numerator, a difference of squares, is factored: x^2 - 16 = (x - 4)(x + 4).
The expression simplifies to [(x - 4)(x + 4)] / (x - 4).
Since the limit approaches 4, x is not equal to 4, so we can cancel the (x - 4) terms.
The limit is now of the simplified expression (x + 4).
Substituting x = 4 gives 4 + 4 = 8.",gemini:gemini-2.5-pro,30055,5,5,Correct,5,"Clarity: The question is a standard and clearly stated introductory calculus problem.
Context Accuracy: This is a pure mathematics problem, and the concepts are entirely correct within that context.
Quality of Working: The generator's solution is concise and follows the standard, correct procedure for solving this type of limit problem by factoring and simplifying.
Final Answer Accuracy: The generator's answer of 8 is correct, matching the independent solution.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: 2, what, derivative.
- Do NOT print this list in the output."
mathematics,gemma,struktur1,3,1545,What is the value of sin(30 degrees)?,A. 0.5,B. 0.87,C. 1,D. 0.25,A,Sine of 30 degrees is a standard trigonometric value and equals 0.5.,"The value of sin(30 degrees) is a standard trigonometric identity. It can be derived from a 30-60-90 right triangle. In such a triangle, the sides are in the ratio 1 : sqrt(3) : 2. The sine of an angle is the ratio of the length of the opposite side to the length of the hypotenuse. For the 30-degree angle, the opposite side has a relative length of 1 and the hypotenuse has a relative length of 2. Therefore, sin(30 degrees) = Opposite / Hypotenuse = 1 / 2 = 0.5.",gemini:gemini-2.5-pro,26777,5,5,Correct,3,"Clarity: The question is perfectly clear, using standard mathematical notation. The options are unambiguous.
Context Accuracy: This is a fundamental, context-free mathematics question. The trigonometric values are correct.
Quality of Working: The generator's solution is correct but provides no explanation or derivation. It simply states the answer as a known fact, which is minimal for a 'working'.
Final Answer Accuracy: The generator correctly identifies that sin(30 degrees) is 0.5, which matches option A.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: find, what, 4, derivative, approaches, limit, 2, 16.
- Do NOT print this list in the output."
mathematics,gemma,struktur1,4,2239,"Given the function f(x) = x^2 - 5x + 6, what is the y-intercept?",A. 6,B. -5,C. 1,D. 0,A,"The y-intercept is the point where x = 0. Substituting x = 0 into the function, we get f(0) = 0^2 - 5(0) + 6 = 6.","The y-intercept of a function is the value of the function when the input, x, is equal to 0. 
To find the y-intercept of f(x) = x^2 - 5x + 6, we need to calculate f(0).
Substitute x = 0 into the function:
f(0) = (0)^2 - 5(0) + 6
f(0) = 0 - 0 + 6
f(0) = 6
Therefore, the y-intercept is 6.",gemini:gemini-2.5-pro,26550,5,5,Correct,5,"Clarity: The question is perfectly clear, using standard mathematical terminology and notation.
Context Accuracy: The question is a standard, conceptually correct problem in algebra.
Quality of Working: The generator's solution correctly identifies the method for finding a y-intercept (setting x=0) and executes the calculation flawlessly.
Final Answer Accuracy: The generator's answer of 6 is correct and matches the provided key.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: find, what, 4, derivative, 30, approaches, limit, 2, sin, degrees, value, 16.
- Do NOT print this list in the output."
mathematics,gemma,struktur1,5,1985,"The slope of the line passing through the points (1.5, 2.8) and (3.2, 7.1) is:",A. 1.87,B. 2.15,C. 0.71,D. 4.92,A,Use the slope formula: (change in y)/(change in x) = (7.1-2.8)/(3.2-1.5) = 4.3/1.7 = 2.53. Rounding to 2 decimals gives 2.53.,"The slope 'm' of a line passing through two points (x1, y1) and (x2, y2) is calculated using the formula m = (y2 - y1) / (x2 - x1).
Given the points (1.5, 2.8) and (3.2, 7.1):
x1 = 1.5, y1 = 2.8
x2 = 3.2, y2 = 7.1
Substitute the values into the formula:
m = (7.1 - 2.8) / (3.2 - 1.5)
m = 4.3 / 1.7
m ≈ 2.5294
Rounding to two decimal places, the slope is 2.53. None of the options are correct.",gemini:gemini-2.5-pro,34009,5,5,Correct,5,"Clarity: The question is perfectly clear, stating the task and providing the necessary points without ambiguity.
Context Accuracy: This is a standard, context-free coordinate geometry problem. The values are mathematically sound.
Quality of Working: The generator's solution correctly identifies and applies the slope formula. The arithmetic (subtraction and division) is accurate, and the steps are logical.
Final Answer Accuracy: The generator's calculated slope of 2.53 is mathematically correct. The question is flawed because this correct answer is not among the options, and the provided key (A) is also incorrect. The generator's answer is the correct solution to the problem posed.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: find, what, 4, derivative, 30, approaches, 6, limit, 2, sin, degrees, given, value, 16, y-intercept, function.
- Do NOT print this list in the output."
mathematics,gemma,struktur1,6,2411,The equation of a circle is x² + y² - 8x + 6y + 12 = 0. What is the radius of the circle?,A. 3,B. 5,C. 7,D. 9,B,"To find the radius, we rewrite the equation in standard form: (x-4)² + (y+3)² = 1. The radius is the square root of the constant term, which is 1. Therefore, the radius is √1 = 1.","The goal is to convert the equation x² + y² - 8x + 6y + 12 = 0 to the standard form (x - h)² + (y - k)² = r².
First, group the x and y terms: (x² - 8x) + (y² + 6y) = -12.
Complete the square for each variable.
For x: (x² - 8x + 16). For y: (y² + 6y + 9).
Add the same values to the other side: (x² - 8x + 16) + (y² + 6y + 9) = -12 + 16 + 9.
Factor the trinomials: (x - 4)² + (y + 3)² = 13.
This means r² = 13, so the radius r is √13.
None of the provided options are correct.",gemini:gemini-2.5-pro,36312,5,2,Incorrect,1,"Clarity: The question is clearly stated, uses standard mathematical notation, and provides all necessary information.
Context Accuracy: The question presents a valid equation for a circle. However, the correct radius (√13) is not among the integer options provided, and the given key (B, corresponding to 5) is also incorrect. This makes the MCQ flawed.
Quality of Working: The generator correctly identified the method of completing the square and found the correct center coordinates. However, it made a critical arithmetic error when summing the constants on the right side of the equation (-12 + 16 + 9 = 13, not 1), which led to an incorrect result.
Final Answer Accuracy: The generator's final answer for the radius is 1. The correct radius is √13. Therefore, the generator's answer is incorrect.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: passing, y-intercept, 30, derivative, limit, 2.8, value, function, 4, 6, approaches, 7.1, 3.2, find, what, and, line, points, 1.5, through, 2, slope, sin, degrees, given, 16.
- Do NOT print this list in the output."
mathematics,gemma,struktur1,7,2819,A car accelerates uniformly from rest to a speed of 25 m/s in 10 seconds. What is its acceleration?,A. 2.5 m/s²,B. 5 m/s²,C. 10 m/s²,D. 250 m/s²,A,Acceleration is the change in velocity divided by the change in time. The car's acceleration is (25 m/s - 0 m/s) / 10 s = 2.5 m/s².,"The problem asks for uniform acceleration. The formula for acceleration (a) is the change in velocity (Δv) divided by the time taken (t).
The initial velocity (u) is 0 m/s (from rest).
The final velocity (v) is 25 m/s.
The time (t) is 10 seconds.
So, a = (v - u) / t.
Substituting the values: a = (25 m/s - 0 m/s) / 10 s.
Calculation: a = 25 / 10 m/s² = 2.5 m/s².
This corresponds to option A.",gemini:gemini-2.5-pro,15952,5,5,Correct,5,"Clarity: The question is perfectly clear, providing all necessary information (initial state, final speed, time) and using standard terminology (""accelerates uniformly"").
Context Accuracy: The values are realistic. An acceleration of 2.5 m/s² (about 0.25g) to reach 25 m/s (90 km/h) in 10 seconds is a plausible performance for a typical car.
Quality of Working: The generator's solution is flawless. It correctly identifies the formula, substitutes the values, and calculates the correct answer with the proper units.
Final Answer Accuracy: The generator's calculated answer of 2.5 m/s² is correct and matches the provided key (A).","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: passing, 0, circle, y-intercept, 30, derivative, limit, 2.8, equation, value, function, 12, 4, 6, approaches, 7.1, 3.2, find, what, and, line, points, 1.5, through, 2, slope, radius, sin, degrees, given, 16.
- Do NOT print this list in the output."
mathematics,gemma,struktur1,8,2765,"A ball is thrown vertically upward with an initial velocity of 18 meters per second. Its height, h, in meters, after t seconds is given by the formula h(t) = 18t - 4.9t². How long does it take for the ball to reach its maximum height?",A. 1.84 seconds,B. 3.68 seconds,C. 2.35 seconds,D. 4.52 seconds,A,"The maximum height is reached when the velocity is zero. The velocity is given by h'(t) = 18 - 9.8t. Setting this equal to zero and solving for t, we get t = 1.84 seconds.","The problem asks for the time to reach maximum height for a ball with height function h(t) = 18t - 4.9t². The maximum height occurs when the instantaneous velocity is zero. The velocity function, v(t), is the first derivative of the height function.
v(t) = h'(t) = d/dt (18t - 4.9t²)
v(t) = 18 - 9.8t
Setting v(t) = 0 to find the time of maximum height:
0 = 18 - 9.8t
9.8t = 18
t = 18 / 9.8 ≈ 1.8367 seconds.
Rounding to two decimal places, the time is 1.84 seconds, which corresponds to option A.",gemini:gemini-2.5-pro,30198,5,5,Correct,5,"Clarity: The question is unambiguous. It clearly states the physical scenario, provides the governing equation with defined variables and units, and asks a specific question.
Context Accuracy: The context is a standard and accurate representation of projectile motion. The coefficient 4.9 correctly corresponds to half of Earth's gravitational acceleration (g ≈ 9.8 m/s²), and the initial velocity is realistic.
Quality of Working: The generator's solution uses a correct and efficient method (calculus). The derivative is calculated correctly, the logic is sound, and the final calculation is accurate.
Final Answer Accuracy: The generator's answer of 1.84 seconds is correct and matches the provided key.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: passing, 0, circle, y-intercept, seconds, 30, derivative, accelerates, limit, 2.8, uniformly, equation, value, 10, function, 12, 4, 6, rest, approaches, 7.1, 3.2, find, what, and, from, line, points, 1.5, through, 2, slope, radius, sin, degrees, given, 25, 16, car, speed.
- Do NOT print this list in the output."
mathematics,gemma,struktur1,9,2870,"A car travels along a straight road. Its position at time t (in hours) is given by the function s(t) = t^3 - 6t^2 + 9t, where s is measured in kilometers. At what time(s) is the car instantaneously at rest?",A. 0 hours and 3 hours,B. 1 hour and 2 hours,C. 1.5 hours only,D. 2 hours only,B,"The car is at rest when its velocity is 0. The velocity is the derivative of the position function: v(t) = 3t^2 - 12t. Setting this equal to 0, we get 3t^2 - 12t = 0. Factoring, we have 3t(t-4) = 0. This gives us t = 0 hours and t = 4 hours.","The car is instantaneously at rest when its velocity, v(t), is zero.
The velocity is the first derivative of the position function, s(t).
s(t) = t^3 - 6t^2 + 9t
v(t) = s'(t) = 3t^2 - 12t + 9
To find the times when the car is at rest, set v(t) = 0:
3t^2 - 12t + 9 = 0
Divide the equation by 3: t^2 - 4t + 3 = 0
Factor the quadratic: (t - 1)(t - 3) = 0
The solutions are t = 1 hour and t = 3 hours.",gemini:gemini-2.5-pro,35423,2,5,Incorrect,1,"Clarity: The question's objective is clear, but none of the multiple-choice options contain the correct answer (t=1 and t=3). This makes the question fundamentally flawed and unsolvable as presented. The provided key (B) is also incorrect.
Context Accuracy: The context of using a position function to find when a car is at rest is a standard and physically sound application of differential calculus. The units and function are plausible.
Quality of Working: The generator correctly states that velocity is the derivative of position. However, it incorrectly calculates the derivative of s(t), omitting the derivative of the '9t' term. This is a fundamental calculus error that invalidates the entire subsequent calculation.
Final Answer Accuracy: The generator's answer of t=0 and t=4 is incorrect. The correct answer, based on the correct derivative, is t=1 and t=3.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: thrown, passing, 0, circle, meters, initial, ball, y-intercept, seconds, 30, derivative, velocity, accelerates, limit, 2.8, with, uniformly, equation, value, 10, function, 12, 4, 6, rest, approaches, vertically, 7.1, 3.2, find, what, and, from, 18, line, points, 1.5, through, 2, slope, radius, sin, degrees, given, 25, upward, 16, car, speed.
- Do NOT print this list in the output."
mathematics,gemma,struktur1,10,3084,"A car is driving along a highway. Its distance from a starting point, in kilometers, after t hours is given by the function d(t) = 5t^2 - 10t. What is the car's average speed over the first 2 hours?",A. 10 km/h,B. 15 km/h,C. 20 km/h,D. 25 km/h,B,"Average speed is total distance divided by total time. At t=2, d(2) = 5(2)^2 - 10(2) = 0 km. At t=0, d(0) = 0 km. The total distance traveled is 0 km. Average speed is 0 km / 2 h = 0 km/h.","Average speed is the total distance traveled divided by the elapsed time.
The position function is d(t) = 5t^2 - 10t. The velocity is the derivative, v(t) = 10t - 10.
The velocity is zero at t=1, indicating a change in direction.
Position at t=0 is d(0) = 0 km.
Position at t=1 is d(1) = 5(1)^2 - 10(1) = -5 km.
Position at t=2 is d(2) = 5(2)^2 - 10(2) = 0 km.
The distance traveled from t=0 to t=1 is |d(1) - d(0)| = |-5 - 0| = 5 km.
The distance traveled from t=1 to t=2 is |d(2) - d(1)| = |0 - (-5)| = 5 km.
Total distance is 5 km + 5 km = 10 km. Average speed = 10 km / 2 h = 5 km/h.",gemini:gemini-2.5-pro,41457,1,2,Incorrect,1,"Clarity: The question is critically flawed. The correct answer, 5 km/h, is not among the options. The provided key (B, 15 km/h) is also incorrect. This makes the question unsolvable.
Context Accuracy: The context of a car is plausible, but the implied constant acceleration of 10 km/h^2 is extremely low (approx. 0.00077 m/s^2), making the scenario physically unrealistic.
Quality of Working: The generator's reasoning is fundamentally flawed. It correctly calculates the positions at t=0 and t=2 but then incorrectly uses the net displacement (0 km) as the total distance. This calculation finds the average velocity, not the average speed.
Final Answer Accuracy: The generator's answer is 0 km/h, which is the average velocity. The correct average speed is 5 km/h. The generator's answer is incorrect.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: thrown, time, passing, 0, circle, meters, initial, ball, 3, y-intercept, seconds, 30, derivative, velocity, accelerates, limit, travels, 2.8, with, uniformly, equation, value, 10, function, 12, 4, 6, rest, approaches, vertically, along, 7.1, 3.2, its, find, what, and, from, 18, straight, position, line, points, 1.5, through, 2, slope, radius, sin, degrees, given, 25, upward, road, 16, car, speed.
- Do NOT print this list in the output."
