topic,model,struktur,index,latency_model_ms,question,optionA,optionB,optionC,optionD,answer,solution_model,solution_verifier,verifier_model,latency_verifier_ms,clarity,context_accuracy,final_answer_accuracy,quality_of_working,judge_notes,prompt_generator
mathematics,qwen,struktur1,1,10889,What is the derivative of the function f(x) = 3x^2 - 4x + 5 at x = 2?,A. 8,B. 12,C. 16,D. 20,A,"First, find the derivative of f(x) = 3x^2 - 4x + 5. The derivative f'(x) = 6x - 4. Substitute x = 2 into f'(x): f'(2) = 6(2) - 4 = 12 - 4 = 8.","The function is f(x) = 3x^2 - 4x + 5.
First, find the derivative of the function, f'(x), using the power rule.
The derivative of 3x^2 is 6x.
The derivative of -4x is -4.
The derivative of the constant 5 is 0.
So, f'(x) = 6x - 4.
Now, evaluate the derivative at x = 2:
f'(2) = 6(2) - 4 = 12 - 4 = 8.",gemini:gemini-2.5-pro,9690,5.0,5.0,Correct,5.0,"Clarity: The question is perfectly clear, using standard mathematical notation and unambiguous language.
Context Accuracy: This is a pure mathematics problem. The concepts and values are standard and correct for introductory calculus.
Quality of Working: The generator's solution correctly applies the power rule to find the derivative and then accurately substitutes the value of x to find the final answer. The steps are logical and sound.
Final Answer Accuracy: The generator's answer of 8 is correct and matches the provided key A.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field."
mathematics,qwen,struktur1,2,10095,Find the value of sin(30 degrees) + cos(60 degrees).,A. 1.00,B. 0.87,C. 0.50,D. 1.50,A,sin(30 degrees) = 0.50 and cos(60 degrees) = 0.50. Adding these values gives 0.50 + 0.50 = 1.00.,"The problem asks for the sum of sin(30 degrees) and cos(60 degrees).
From standard trigonometric identities, the value of sin(30 degrees) is 1/2 or 0.5.
The value of cos(60 degrees) is also 1/2 or 0.5.
Therefore, the sum is 0.5 + 0.5 = 1.0.
This corresponds to option A.",gemini:gemini-2.5-pro,19927,5.0,5.0,Correct,5.0,"Clarity: The question is perfectly clear, using standard mathematical notation and unambiguous wording.
Context Accuracy: This is a pure mathematics question. The trigonometric values are standard and correct.
Quality of Working: The generator's solution correctly identifies the values for sin(30) and cos(60) and performs the addition correctly. The reasoning is sound and easy to follow.
Final Answer Accuracy: The generator's final answer of 1.00 is correct.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: function, 5, what, 2, derivative.
- Do NOT print this list in the output."
mathematics,qwen,struktur1,3,17720,Evaluate the limit as x approaches 0 of (tan(x) - x) / (x^3).,A. 1/3,B. -1/3,C. 1/2,D. -1/2,A,"To solve this, use the Taylor series expansion of tan(x) around x = 0. The expansion is tan(x) = x + x^3/3 + higher order terms. Substituting this into the limit, we get (x + x^3/3 - x) / x^3 = (x^3/3) / x^3 = 1/3. Therefore, the limit is 1/3.","The limit is of the indeterminate form 0/0. A direct approach is to use the Maclaurin series expansion for tan(x) around x=0, which is tan(x) = x + (1/3)x^3 + O(x^5).
Substituting this into the expression gives: ( (x + (1/3)x^3 + O(x^5)) - x ) / x^3.
This simplifies to ( (1/3)x^3 + O(x^5) ) / x^3.
Dividing the terms in the numerator by x^3 yields 1/3 + O(x^2).
As x approaches 0, the O(x^2) term goes to zero, and the limit is 1/3.",gemini:gemini-2.5-pro,22689,5.0,5.0,Correct,5.0,"Clarity: The question is a standard calculus limit problem, stated with clear and unambiguous mathematical notation.
Context Accuracy: The problem is a standard, mathematically correct exercise in calculus. No context beyond pure mathematics is present or required.
Quality of Working: The generator's solution uses the Taylor series expansion, which is an efficient and correct method for this type of limit. The steps are logical and lead directly to the correct answer.
Final Answer Accuracy: The generator's answer of 1/3 is correct, matching the provided key and my independent calculation.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: 30, function, 5, degrees, 60, what, value, sin, cos, 2, derivative, find.
- Do NOT print this list in the output."
mathematics,qwen,struktur1,4,21129,"A particle moves along a straight line with its position given by s(t) = 4t^2 - 8t + 7, where s is in meters and t is in seconds. What is the velocity of the particle at t = 2 seconds?",A. 8 m/s,B. 12 m/s,C. 16 m/s,D. 20 m/s,A,"To find the velocity, take the derivative of s(t) with respect to t. s'(t) = 8t - 8. Substitute t = 2 into s'(t): s'(2) = 8(2) - 8 = 16 - 8 = 8 m/s.","The velocity of the particle, v(t), is the first derivative of its position function, s(t).
The position function is given as s(t) = 4t^2 - 8t + 7.
Taking the derivative with respect to time t, we get the velocity function:
v(t) = s'(t) = d/dt (4t^2 - 8t + 7) = 8t - 8.
To find the velocity at t = 2 seconds, we substitute t = 2 into the velocity function:
v(2) = 8(2) - 8 = 16 - 8 = 8 m/s.
This corresponds to option A.",gemini:gemini-2.5-pro,10619,5.0,5.0,Correct,5.0,"Clarity: The question is perfectly clear. It provides the position function, defines all variables and units, and asks a specific, unambiguous question.
Context Accuracy: The problem is a standard, physically realistic kinematics scenario (motion with constant acceleration). The values are reasonable for a textbook problem.
Quality of Working: The generator's solution is flawless. It correctly identifies the need to differentiate, performs the differentiation and substitution correctly, and includes the proper units.
Final Answer Accuracy: The generator's answer of 8 m/s is correct and matches the independent calculation.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: 30, approaches, function, 3, 5, degrees, limit, 60, evaluate, what, value, sin, cos, 2, derivative, tan, 0, find.
- Do NOT print this list in the output."
mathematics,qwen,struktur1,5,9620,"A rectangular garden has a length that is 4 meters more than its width. If the area of the garden is 60 square meters, what is the width of the garden?",A. 5 meters,B. 6 meters,C. 8 meters,D. 10 meters,B,"Let the width be w meters. The length is then w + 4 meters. The area is given by w(w + 4) = 60. Solving the quadratic equation w^2 + 4w - 60 = 0, we get (w + 10)(w - 6) = 0. The width w cannot be negative, so w = 6 meters.","Let w be the width of the garden in meters.
The length, l, is 4 meters more than the width, so l = w + 4.
The area of a rectangle is given by the formula A = l * w.
We are given that the area is 60 square meters.
Substituting the expressions for l and A, we get: 60 = (w + 4) * w.
This simplifies to the quadratic equation: w^2 + 4w - 60 = 0.
Factoring the quadratic, we get (w + 10)(w - 6) = 0.
The possible solutions are w = -10 or w = 6. Since width cannot be negative, the width is 6 meters.",gemini:gemini-2.5-pro,21578,5.0,5.0,Correct,5.0,"Clarity: The question is clearly stated, providing all necessary information without ambiguity.
Context Accuracy: The context of a rectangular garden with these dimensions (6m x 10m) and area (60 sq m) is perfectly realistic.
Quality of Working: The generator's solution correctly sets up the quadratic equation, factors it accurately, and provides sound reasoning for choosing the positive root.
Final Answer Accuracy: The generator's answer of 6 meters is correct and matches the provided key.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: along, evaluate, what, value, cos, 2, approaches, derivative, find, 30, 3, degrees, limit, with, position, moves, 5, particle, 60, sin, 0, its, function, 7, tan, straight, line.
- Do NOT print this list in the output."
mathematics,qwen,struktur1,6,10968,A ball is thrown upward from a height of 10 meters with an initial velocity of 15 meters per second. The height h(t) of the ball at time t seconds can be modeled by the equation h(t) = -4.9t^2 + 15t + 10. What is the maximum height reached by the ball?,A. 19.84 meters,B. 15.00 meters,C. 10.00 meters,D. 24.75 meters,A,"To find the maximum height, we need the vertex of the parabola. The time at which the maximum height is reached is given by t = -b / (2a) = -15 / (2 * -4.9) = 1.53 seconds. Substituting t = 1.53 into the height equation gives h(1.53) = -4.9(1.53)^2 + 15(1.53) + 10 = 19.84 meters.","The height of the ball is modeled by the quadratic equation h(t) = -4.9t^2 + 15t + 10. This represents a downward-opening parabola.
The maximum height occurs at the vertex. The time to reach the vertex is given by the formula t = -b / (2a).
Here, a = -4.9 and b = 15.
t = -15 / (2 * -4.9) = -15 / -9.8 ≈ 1.5306 seconds.
To find the maximum height, substitute this value of t back into the height equation:
h(1.5306) = -4.9(1.5306)^2 + 15(1.5306) + 10
h(1.5306) ≈ -4.9(2.3427) + 22.959 + 10
h(1.5306) ≈ -11.479 + 22.959 + 10 ≈ 21.48 meters.",gemini:gemini-2.5-pro,41319,5.0,5.0,Incorrect,2.0,"Clarity: The question is very clear. It provides the governing equation, defines the variables, and asks a specific, unambiguous question.
Context Accuracy: The physics model is standard for projectile motion under gravity on Earth (g ≈ 9.8 m/s^2), and the initial values are realistic.
Quality of Working: The generator correctly identifies the method (finding the vertex) and correctly calculates the time. However, there is a significant arithmetic error when substituting the time back into the height equation. The calculation shown results in ~21.48, not 19.84.
Final Answer Accuracy: The generator's answer of 19.84 meters is incorrect. The correct maximum height calculated from the given equation is approximately 21.48 meters. The question itself is flawed as none of the options are correct.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: along, evaluate, what, value, garden, cos, 2, approaches, derivative, than, find, 30, 3, that, more, degrees, limit, rectangular, with, position, length, moves, 5, particle, 60, sin, 0, its, function, 7, meters, 4, has, tan, straight, line.
- Do NOT print this list in the output."
mathematics,qwen,struktur1,7,8518,"A rectangular prism has a volume of 120 cubic meters. If the length is 8 meters and the width is 5 meters, what is the height of the prism?",A. 3 meters,B. 4 meters,C. 5 meters,D. 6 meters,A,"The volume of a rectangular prism is given by V = length * width * height. We know V = 120 cubic meters, length = 8 meters, and width = 5 meters. Plugging in the values, we get 120 = 8 * 5 * height. Simplifying, 120 = 40 * height. Solving for height, we get height = 120 / 40 = 3 meters.","The formula for the volume of a rectangular prism is V = length × width × height.
The problem provides V = 120 m³, length = 8 m, and width = 5 m.
Substituting the known values into the formula gives: 120 = 8 × 5 × height.
First, calculate the area of the base: 8 × 5 = 40 m².
The equation simplifies to 120 = 40 × height.
To find the height, divide the volume by the base area: height = 120 / 40.
The height is 3 meters.",gemini:gemini-2.5-pro,11387,5.0,5.0,Correct,5.0,"Clarity: The question is perfectly clear, providing all necessary data and a straightforward objective. The wording is simple and unambiguous.
Context Accuracy: The context is a standard, correct application of a geometric formula. The values are reasonable for a physical object like a room or container.
Quality of Working: The generator's solution correctly states the formula, substitutes the values, and performs the arithmetic accurately to find the correct height.
Final Answer Accuracy: The generator's answer of 3 meters is correct and matches the provided key (A).","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: along, evaluate, what, value, garden, cos, 2, approaches, derivative, than, find, height, 30, 3, that, more, degrees, limit, rectangular, ball, with, position, length, from, moves, 5, upward, particle, 10, 60, sin, 0, its, function, thrown, 7, 15, meters, 4, has, tan, straight, line.
- Do NOT print this list in the output."
mathematics,qwen,struktur1,8,6458,A car travels at a constant speed of 65 km/h. How far does it travel in 2.5 hours?,A. 162.5 km,B. 150.0 km,C. 175.0 km,D. 145.0 km,A,"To find the distance traveled, use the formula distance = speed * time. Here, speed = 65 km/h and time = 2.5 hours. So, distance = 65 * 2.5 = 162.5 km. The correct answer is 162.5 km.","The problem asks for the distance traveled given a constant speed and time. The relationship between distance, speed, and time is given by the formula: distance = speed × time.

Given:
Speed = 65 km/h
Time = 2.5 hours

Calculation:
Distance = 65 km/h * 2.5 h
Distance = 162.5 km

This matches option A.",gemini:gemini-2.5-pro,22014,5.0,5.0,Correct,5.0,"Clarity: The question is perfectly clear, providing all necessary information (speed, time) and asking a direct question.
Context Accuracy: The speed of 65 km/h is a realistic and common speed for a car on a highway or main road.
Quality of Working: The generator's solution correctly identifies the formula, substitutes the values, and performs the arithmetic accurately. The explanation is concise and correct.
Final Answer Accuracy: The generator's final answer of 162.5 km is correct.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: along, prism, 8, evaluate, what, value, garden, cos, 2, approaches, derivative, than, find, height, 30, 3, that, more, degrees, limit, rectangular, ball, with, position, length, 120, from, moves, 5, upward, particle, 10, 60, sin, 0, its, function, thrown, volume, 7, 15, cubic, meters, 4, has, tan, straight, line.
- Do NOT print this list in the output."
mathematics,qwen,struktur1,9,6764,"A rectangular garden has a length that is twice its width. If the perimeter of the garden is 36 meters, what is the area of the garden in square meters?",A. 72,B. 36,C. 18,D. 9,A,"Let the width be w meters. Then the length is 2w meters. The perimeter is 2(w + 2w) = 36 meters, so 6w = 36, and w = 6 meters. The length is 2 * 6 = 12 meters. The area is 6 * 12 = 72 square meters.","Let the width be 'w' meters. The length 'l' is twice the width, so l = 2w.
The formula for the perimeter of a rectangle is P = 2(l + w).
Given P = 36 meters, we have 36 = 2(2w + w).
Simplifying, 36 = 2(3w), which means 36 = 6w.
Solving for the width, w = 36 / 6 = 6 meters.
The length is l = 2w = 2 * 6 = 12 meters.
The area is A = l * w = 12 * 6 = 72 square meters.",gemini:gemini-2.5-pro,23895,5.0,5.0,Correct,5.0,"Clarity: The question is perfectly clear, providing all necessary information and stating the goal without ambiguity.
Context Accuracy: The context of a rectangular garden with these dimensions (6m x 12m) is entirely realistic.
Quality of Working: The generator's solution is flawless. It correctly defines variables, sets up the perimeter equation, solves for the dimensions, and then calculates the area.
Final Answer Accuracy: The generator's final answer of 72 is correct, matching the independent calculation.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: along, far, prism, 65, 8, constant, car, evaluate, what, value, garden, cos, 2, approaches, derivative, than, travels, find, does, height, 30, 3, 2.5, that, more, degrees, limit, rectangular, ball, with, position, length, 120, from, moves, 5, upward, particle, speed, 10, 60, sin, 0, travel, its, function, thrown, volume, 7, 15, cubic, meters, 4, how, has, tan, straight, line.
- Do NOT print this list in the output."
mathematics,qwen,struktur1,10,7177,"A rectangular garden has a length of 18 meters and a width of 10 meters. If the length is increased by 5 meters and the width is decreased by 2 meters, what is the new area of the garden?",A. 180 square meters,B. 186 square meters,C. 190 square meters,D. 200 square meters,B,"The original length is 18 meters and the width is 10 meters. After the changes, the new length is 18 + 5 = 23 meters and the new width is 10 - 2 = 8 meters. The new area is 23 * 8 = 184 square meters. The closest option is B.","1.  Calculate the new length: The original length is 18 meters, and it is increased by 5 meters. New length = 18 + 5 = 23 meters.
2.  Calculate the new width: The original width is 10 meters, and it is decreased by 2 meters. New width = 10 - 2 = 8 meters.
3.  Calculate the new area: The area of a rectangle is length times width.
    New area = 23 meters * 8 meters = 184 square meters.
4.  Compare with options: The calculated area is 184 sq m. None of the options (A. 180, B. 186, C. 190, D. 200) match this result. The question is flawed because the correct answer is not provided as an option.",gemini:gemini-2.5-pro,34383,5.0,5.0,Incorrect,5.0,"Clarity: The question is perfectly clear, with unambiguous wording and sufficient data to solve the problem.
Context Accuracy: The context of a rectangular garden with the given dimensions and modifications is entirely realistic.
Quality of Working: The generator's reasoning is sound. It correctly calculates the new dimensions and the resulting area of 184 sq m. It also correctly identifies that this answer is not an option and points to the closest choice, which is a logical way to handle a flawed question.
Final Answer Accuracy: The generator's calculated answer of 184 sq m is correct. However, the provided key (B) and the generator's final choice of 186 sq m are both numerically incorrect. The question is flawed as the correct answer is not listed in the options.","SYSTEM: You are a Grade 12 Mathematics teacher.
Write EXACTLY 1 high-quality multiple-choice question (MCQ) and INCLUDE a brief solution (3–6 lines, plain text).
SP (Standard Prompting):
• Write 1 medium-difficulty computational MCQ from ONE of: algebra (functions/inverse/systems), trigonometry (identities/evaluation), basic calculus (limits/derivatives/simple integrals), or short statistics.
• Use realistic numbers; round to 2 decimals when needed; avoid formal proofs.
• Distractors must reflect typical mistakes (sign errors, wrong identities, derivative/limit rules, rounding).

STRICT OUTPUT CONTRACT (SINGLE ITEM):
- Return ONLY a JSON array containing EXACTLY 1 object:
  [{""question"":""..."",""options"":[""A. ..."",""B. ..."",""C. ..."",""D. ...""],""answer"":""A"",""solution"":""3–6 short lines, plain text; no LaTeX/markdown.""}]
- The ""solution"" field is MANDATORY with 3–6 short lines (plain text; no LaTeX/markdown).
- No extra text outside JSON; no code fences.
- Options MUST be prefixed ""A. ""/""B. ""/""C. ""/""D. "" and ""answer"" ∈ {A,B,C,D}.
- NO LaTeX: do not use $ or backslashes; write plain text (sin, cos, pi, (a)/(b)).
USER: Topic: Mathematics. Create 1 MCQ following the instructions and return a single-item JSON with the ""solution"" field.

Additional constraint:
- Avoid reusing the following words/numbers: along, far, prism, 65, 8, constant, car, evaluate, what, value, garden, cos, 2, approaches, derivative, than, travels, find, does, height, twice, 30, 3, 2.5, that, more, degrees, limit, perimeter, rectangular, ball, with, position, length, 120, from, moves, 5, upward, width, particle, speed, 10, 60, sin, 0, travel, its, function, thrown, volume, 7, 15, cubic, 36, meters, 4, how, has, tan, straight, line.
- Do NOT print this list in the output."
